iter	Passed	Remaining
0	10	10885
1	22	11201
2	32	10750
3	42	10532
4	52	10437
5	63	10539
6	75	10684
7	84	10488
8	98	10803
9	108	10777
10	117	10588
11	127	10495
12	138	10502
13	147	10390
14	156	10303
15	170	10515
16	180	10417
17	192	10515
18	201	10427
19	211	10342
20	221	10319
21	230	10255
22	241	10241
23	251	10227
24	261	10180
25	273	10238
26	284	10262
27	296	10284
28	306	10263
29	319	10338
30	329	10301
31	339	10280
32	348	10217
33	361	10283
34	373	10291
35	383	10264
36	396	10323
37	406	10292
38	416	10251
39	426	10236
40	437	10237
41	451	10287
42	461	10268
43	472	10263
44	482	10232
45	495	10271
46	504	10232
47	513	10192
48	524	10173
49	534	10146
50	544	10135
51	556	10151
52	566	10117
53	575	10086
54	585	10068
55	597	10069
56	608	10072
57	620	10071
58	629	10035
59	638	10001
60	648	9976
61	657	9950
62	668	9938
63	681	9970
64	691	9946
65	701	9933
66	717	9992
67	731	10021
68	741	10003
69	754	10021
70	765	10012
71	774	9986
72	785	9979
73	797	9981
74	806	9947
75	817	9934
76	826	9906
77	838	9908
78	850	9912
79	859	9879
80	869	9867
81	884	9898
82	894	9886
83	904	9863
84	914	9840
85	923	9810
86	934	9806
87	946	9810
88	956	9787
89	967	9781
90	976	9750
91	987	9745
92	1001	9769
93	1011	9750
94	1021	9733
95	1032	9721
96	1041	9695
97	1051	9676
98	1061	9658
99	1074	9672
100	1088	9689
101	1098	9674
102	1111	9680
103	1122	9666
104	1132	9652
105	1142	9636
106	1153	9630
107	1165	9624
108	1176	9618
109	1187	9610
110	1197	9588
111	1207	9575
112	1219	9571
113	1229	9558
114	1241	9557
115	1252	9541
116	1263	9532
117	1302	9735
118	1331	9855
119	1352	9916
120	1373	9981
121	1392	10019
122	1402	10003
123	1413	9987
124	1423	9964
125	1433	9946
126	1444	9932
127	1453	9904
128	1463	9881
129	1473	9860
130	1486	9859
131	1498	9853
132	1508	9831
133	1517	9807
134	1528	9792
135	1538	9772
136	1550	9765
137	1560	9747
138	1572	9741
139	1586	9746
140	1598	9739
141	1607	9715
142	1617	9691
143	1628	9682
144	1640	9674
145	1650	9655
146	1661	9640
147	1671	9620
148	1683	9613
149	1695	9607
150	1704	9584
151	1715	9572
152	1726	9559
153	1738	9551
154	1749	9538
155	1762	9535
156	1777	9543
157	1789	9538
158	1799	9516
159	1810	9503
160	1819	9482
161	1831	9472
162	1841	9454
163	1850	9430
